제목,카테고리1,카테고리2,카테고리3,지역명,시군구명,개요
외할머니집,음식,음식점,한식,충청북도,음성군,"충청북도 2001년 지정 전통 음식점으로 외할머니가 직접 전통재래방법으로 두부를 만들어 요리를 하여 충청북도 제4회 향토음식경연대회 장려상수상을 한 바 있으며 돌솥소고기 콩나물밥은 식사 후에 구수한 누룽지 숭늉이 옛생각을 나게 한다. 가을과 겨울에는 옛날 고향에서 맛 보았던 청국장을 드실 수 있는 곳이기도 하며, 또한 두부요리와 궁합이 잘맞는 동동주를 한잔 할 수 있는 곳이기도 하다. 100%국산 통으로 매일아침 직접 두부를 손수 외할머니가 하시며 내부 분위기 및 음악이 한층 고향을 생각할 수 있게 하는 전통 맛볼수 있는 곳이다."
고마나루 돌쌈밥,음식,음식점,한식,충청남도,공주시,쉽게 접하기 어려운 약용초를 위주로 20~30여가지 이상의 진귀한 야채를 제공하는 고마나루 돌쌈밥 집의 쌈밥 메뉴는 각종 성인병 예방 및 치료에 도움을 줄 수 있는 건강식이다.
단호박가든,음식,음식점,한식,충청남도,보령시,"복잡한 도시가 아닌 조용한 시골의 풍경과 안락함을 가지고 있는 곳이다. 특히 겨울에 자연산 굴로 만든 돌솥굴밥, 굴탕이 별미 이다. "
창성식육식당,음식,음식점,한식,경상북도,울릉군,"울릉도에서 직접 약초먹이로 자란 순한우만 직접 도축하여 공급한다. 군지정 약소전문점이며, 울릉도산 홍합, 오징어, 돼지고기(소고기)철판전골, 순 울릉도산 채소 사용, 군지정 모범업소이다. 군지정 약소전문점이며 깨끗하고 싱싱한 울릉도산 야채를 사용한다.   "
명동칼국수,음식,음식점,한식,경상북도,경주시,경주시 황성동에 위치하고 있는 명동칼국수는 칼국수와 다양한 만두요리를 맛볼 수 있는 곳으로 음식 포장도 가능하다.
만리포 돌섬횟집,음식,음식점,한식,충청남도,태안군," 태안군청 지정 모범업소로서 만리포 해변가 전면에 위치하여 아름다운 저녁 노을을 감상할 수 있으며, 일종 항구가 가까워 즉시 신선한 해산물을 공급하여 최선의 서비스를 다하고 있다. "
잉스힐,음식,음식점,서양식,충청남도,논산시,"잉스힐(ingshill=꿈의동산)은 대둔산 수락계곡에 위치한 웅장한 유럽풍 통나무 전원 레스토랑과 펜션, 산장을 겸한 휴양시설이다. 다양한 메뉴가 준비되어있고, 예약을 통해 원하는 시간대에 언제든지 식사가 가능하다. 넓은 잔디공원이 있어 야외 바비큐 파티, 족구, 축구, 단체모임 등을 즐길 수 있으며, 수락계곡물이 펜션 주변을 흐르고 있어 물놀이, 다슬기 잡기 등 다양한 체험이 가능하다.  "
복바위식당,음식,음식점,한식,강원도,인제군,맑은 물과 깨끗한 공기있는 인제군 용대리에 자리 잡은 복바위식당은 황태요리 전문점이다. 담백하고 구수한 황태요리와 더불어 빙어축제등 다양한 체험을 할수 있는 곳 이기도 하다. 사계절 관광지로서 인근 백담사와 만해마을이 가까운 거리에 위치하고 있어 가족중심에 여가를 즐길수 있다.
산채촌,음식,음식점,한식,강원도,인제군,"산채촌은 강원도 인제군 북면에 위치하고 있는 음식점으로 산채요리와, 토종닭요리를 전문으로 하고 있다. 산채촌에서는 직접 캔 약초와 신선한 산나무들로 정성들여 요리를 하며 특히 진한 육수와 한약재를 써서 토종닭요리를 선보이는 점이 특징이다."
정원식당,음식,음식점,한식,강원도,인제군,"정원식당은 강원 인제군 남면에 위치하고 있는 한식당으로 오리요리를 전문으로 하고 있다. 오리한방수육, 두부전골, 토종닭요리, 삼겹살 등 다양한 메뉴가 있다."
두무대식당,음식,음식점,한식,강원도,인제군,송어 양식을 직접 하는 업소이며 계곡이 위치하고 있어 경치가 좋은 곳이다.
숲속의빈터 방동막국수,음식,음식점,한식,강원도,인제군,"숲속의 빈터 방동막국수는 인제군 기린면에 위치하는, 막국수 전문점으로 수육, 백숙, 동동주 등을 판매하고 있다. 음식 포장도 가능하며, 연중무휴로 영업을 하고 있다. 밑반찬으로 제공되는 곰취장아찌도 그 맛이 일품이라고 한다. "
목림정,음식,음식점,한식,충청남도,아산시," 한우 생고기는 생후 3년 정도된 한우로서 1~2회 새끼를 낳은소를 사용하며, 최소한 7주일이상 0도 ~ 영하 1도로 숙성시킨다. 그리고 고기를 구워 먹은 후에 즉석에서 된장찌개를 먹는 것이 일품이다."
비원,음식,음식점,한식,충청북도,제천시,고유의 제천식 한정식을 차려내는 곳이다. 한옥풍의 건물 안은 옛 자개장식장과 전통식 서랍 등 정갈한 느낌의 소품들로 꾸며져 있다. 전라도가 고향인 나이 지긋한 주인이 직접 차려주는 상차림이 특색 있다. 메뉴마다 차이는 있지만 신선로와 구절판 등 전통 한식풍의 한정식을 제공한다.
청진동해장국,음식,음식점,한식,충청북도,제천시,20년동안 해장국만 전문으로 연구하고 요리하는 집으로 맛이 좋기로 유명하다.
루체,음식,음식점,서양식,충청남도,논산시,"탑정저수지 호반에 위치하여 4계절의 변화를 cafe안에서도 맘껏 감상할 수 있으며, 무엇보다도 건축적 예술미가 뛰어난 cafe로서 여유로운 건축적 공간의 미와 빛으로 충만된 공간을 만날 수 있다. 이은석 경희대학교 건축과 교수가 설계하였으며, 99년 건축의 해 대전일보 선정 건축물, 충청남도가 뽑은 우수건축물로 선정되었다."
향수가든,음식,음식점,한식,충청남도,서산시,"향수가든은 태안반도의 관문격인 해미I.C에서 가까운 보리밥정식집이다. 해미I.C에서 1km 남짓한 거리로, 해미읍성에서 걸어서 5분 남짓하면 닿는 거리에 있다. 마을주민인 안종석씨 가족이 1995년 문을 열어 운영하고 있다. 가정집을 일부 개조하여 고향집처럼 편안한 분위기에서 주인 부부가 직접 차려내는 정갈한 상차림이 특색있다. 서산과 태안쪽에서 나는 토종콩으로 된장과 고추장을 담가 알맞게 묵혀가며 쓴다는데 장맛 때문인지 쌈장과 된장 찌개를 곁들인 보리밥정식이 가장 인기있다. 보리밥정식은 보리를 알맞게 섞어 지은 보리밥을 압력솥에 뜸을 들여 큼직한 그릇에 담고, 10가지의 싱싱한 쌈감을 곁들인다. 여기에 3~4 가지의 밑 반찬과 함께 시금치, 콩나물, 도라지, 애호박 나물, 버섯 등을 들기름에 무쳐 큼직한 접시에 따로 담아낸다. 보리밥을 고추장에 비벼서 싱싱한 쌈에 한번더 싸면 향긋한 쌈 향기까지 어우러져 더욱 별미다. 야채를 갈아 넣고 볶았다는 쌈장맛과 향긋하고 싱싱한 쌈맛이 좋다."
동래별장,음식,음식점,한식,부산,동래구,"동래별장은  3,000여평의 정원과 연건평 1,000여평의 대규모 저택으로 200~300 년생의 노송과 각종 수목, 연못 그리고 문화재급의 탑과 전통가옥이 자연의 멋을 그대로 간직한채 100여년간 보존되고 있다. 일제때 일본인의 별장으로 일본식과 한국전통의 정원으로 국내 최고의 정원을 자랑하고 있으며, 해방 후 우리나라의 대표적인 가무유산의 산실이기도 하였다. 오늘날에 와서는 전통궁중한정식을 전수받아 한국전통의 맛과 멋을 계승하고 궁중요리를 재현하고 있다.탐스러운 수목이 가득한 정원에서 기품있는 전통 결혼식등 일생에 단 한번뿐인 소중하고 신선한 결혼을 특별하고 의미있게 치룰 수 있다. 가족사의 중요한 행사인 회갑, 고희연, 돌잔치, 대소연회 등을 치룰수 있는 최적의 장소이기도 하다."
옹심이칼국수(구.흥원식당),음식,음식점,한식,충청북도,청주시,"[상당구 미원면사무소 인근에 있는 칼국수 전문 옹심이칼국수]옹심이 칼국수는 충북 청주시 상당구 미원초등학교 인근에 있는 칼국수 전문 음식점이다. 옹심이 칼국수는 칼국수와 더불어 청국장도 전문으로 하고 있으며 백숙, 닭볶음탕, 수육 등을 메뉴로 하고 있다. 숯불구이 메뉴의 경우 예약은 필수이다."
무등산,음식,음식점,한식,서울,강남구,"13년 넘는 전통으로 매일 전남 광주, 무안 한우 암소만을 엄선히 선발하여 최고의 고기만을 제공하므로써 유명 연예인과 유명인사 등 미식가들이 줄을 잇고 있다. 고기뿐만 아니라 국물이 진한 설농탕과 25년 넘는 경력의 냉면장이 메뉴를 책임지고 있다. 또한,외국관광객들을 위해 모든 메뉴를 외국어(영어, 일어)로  표기되어 있다."
나들목식당,음식,음식점,한식,충청북도,진천군,"나들목식당은 만두를 재료로 한 요리를 주메뉴로 하는 음식점이다. 메뉴에는 만두국, 만두전골, 칼국수, 닭백숙 등을 메뉴로 하며 인근 초평 저수지에서 낚시를 할 수 있다."
윤가네신토불이보쌈,음식,음식점,한식,부산,해운대구,"사장이 직접 선별한 고기와 전라도 순창에서 직접 지은 쌀과 고춧가루 양념으로 만든 음식이기 때문에 집에서 어머니가 해주시는 음식 맛을 느낄 수 있다.  또,풍성한 밑반찬과 부드럽고 고소한 보쌈 그리고 매콤하고 시원스런 굴 김치를 넣어 쌈으로 싸서 먹으면 정말 맛이 좋다. "
관광식당,음식,음식점,한식,경상북도,봉화군,"약수물을 사용하여 닭 뱃속에 황기, 인삼, 밤, 녹두를 넣고 40분 끓인 후 찹쌀과 대추, 생강을 넣고 죽을 끓인다. 봉화군 지정 제 2호 토속음식으로 오전 약수 별미중 하나이다. "
초가집식당,음식,음식점,한식,경상북도,봉화군,"추어탕, 다슬기 전문 식당이다."
궁전가든,음식,음식점,한식,경상북도,봉화군,"경북 봉화에 위치하고 있는 궁전가든은 송이 한방오리탕, 송이 전골, 송이 돌솥밥 등 송이요리 전문 식당이다."
대풍정식음소,음식,음식점,한식,경상북도,봉화군,"‘대풍정식음소’라는 약간은 생소한 이름을 가진 이곳은 봉화군의 모범향토지정 음식점 이다. 이곳의 메뉴는 감자부침과 칼국수, 김치찌개와 된장찌개, 그리고 순두부찌개와 제육볶음, 산채비빔밥 등 자연적이고 향토적 음식이다. 그리고 건강 보양 메뉴로 직접 키운 토종닭을 이용한 닭도리탕, 송이 토종닭백숙이 있다."
은행나무집,음식,음식점,한식,전라남도,구례군,"지리산을 품고 있는 구례 지역엔 원래 흑염소 요리를 하는 음식점이 여럿 있었다. 하지만 불과 몇 년 사이 흑염소 가격이 세 배 이상 뛰자, 흑염소 음식점이 하나둘씩 줄더니 지금은 은행나무집만이 그 명맥을 이어가고 있다. 재료값이 올랐다고 바로 음식 값을 올릴 수 없는 노릇이니 그만큼 이삼엽 대표의 고민도 컸다. 그나마 이곳을 꾸준히 찾는 손님들 덕분에 최근의 가격 폭등에도 불구하고 은행나무집은 14년의 시간 동안 가게를 유지할 수 있었다.많은 사람들이 방목해서 기른 흑염소가 더 육질이 좋을 것이라 생각하지만 이는 잘못된 생각이다. 방목하여 풀만 먹고 자란 흑염소는 질기고 맛이 좋지 않다. 또한 흑염소는 풀을 뿌리까지 먹어서 생태계에 나쁜 영향을 미치기도 한다. 때문에 이 대표 역시 위탁해서 흑염소를 기르고 있다.흑염소로 만든 주 요리는 수육과 전골, 탕이다. 모든 흑염소 요리에 부추, 토란, 미나리, 팽이버섯, 들깨 등의 재료가 들어가는데, 들깨가루를 뿌린 고추장에 고기를 찍어 먹으면 비린내가 전혀 나지 않고 담백하다. 흑염소 요리는 무엇보다 육수가 맛을 좌우한다. 은행나무집은 뼈를 3~4일간 고아서 육수의 깊은 맛을 살린다. 국물 맛이 고소하면서 얼큰하다.다 먹은 후엔 밥을 비벼 마무리하는 것이 개운하고 좋다. 흑염소 외에도 촌닭으로 만든 볶음탕과 백숙이 있으니 혹시나 흑염소 고기가 입에 맞지 않는 사람이라도 걱정 없다. 갓김치, 오이김치, 배추김치, 무김치, 도토리묵, 시금치 등의 밑반찬도 시원하고 깔끔하다."
송천생고기전문점,음식,음식점,한식,경기도,의정부시,"송천생고기전문점은 정육점겸 식당으로, 철원 청정지역에서만 사육하는 한우암소 3∼4년생만을 골라 도축하여 바로 손님에게 제공하고 있다.   평균 2일에 한 마리씩 도축하여 신선하며 한우맛도 좋다.   ※ 경기도인증 모범음식점 "
강변집,음식,음식점,한식,경기도,남양주시,"팔당대교 아래 강변에 자리 잡은 강변집은 30년 넘는 전통의 민물장어와 쏘가리매운탕의 매콤하고 상큼한 그 맛이 일품이며, 자라와 토종영계 또는 잉어와 한약재 27종을 넣어 끊인 용봉탕은 각 부위 마다 맛도 다르고 영양도 풍부한 음식이다."
진미식당,음식,음식점,한식,경기도,파주시,민통선을 코앞에 둔 임진강변에 위치해 있고 임진강에서 잡아올린 싱싱한 자연산 장어를 맛볼 수 있고 5월∼6월 사이 임진강 명물 황복회·찜·탕·지리와 가을철 참게장과 참게 매운탕의 참맛을 느낄 수 있다. 모든 반찬은 화학조미료를 쓰지 않고 옛날식 자연 양념만 쓰는 것이 특징이어서 뒷 맛이 좋고 개운하다.
원조파주골순두부,음식,음식점,한식,경기도,포천시,"양념 안된 흰 순두부가 냄비 가득 담겨 나오며 구수하면서 담백하다. 여기에다 구수한 보리밥에 고추장, 들기름 야채를 약간 넣고 비비면 그맛이 일품이다."
이조가든,음식,음식점,한식,경기도,포천시,"포천시와 남양주시 경계에 위치한 포천시의 1호 갈비전문점인 이 업소는 숲속의 아늑함과 넓은 정원 그리고 아이들이 안전하게 맘껏 뛰어놀수 있는 예쁜 놀이터가 있는 집이다. 사장님이 손수 재배하는 유기농 무공해 야채와 화학 조미료를 사용하지 않고도 맛을 내는 비법이 자랑이며, 가까운 일동 온천에서 온천욕을 하고 가는 길에 가볼만한 갈비전문점이다."
통나무집,음식,음식점,한식,경기도,포천시,"실내 분위기가 토속적이며 고풍스럽다. 여러가지 한약재를 넣고 삶은 돼지고기를 배추에 싸먹는 한방보쌈 맛이 각별하며, 육질이 이색적이어서 보쌈이나 양념 없이 그대로 먹어도 색다른 맛을 느낄 수 있다. 직접 집에서 면을 뽑은 메밀국수를 자체 개발한 생과일 소스에 찍어 먹는 쟁반국수는 별미이다. 버섯전골은 직접 재배한 버섯과 인근 재배농가 버섯을 사용하여 항상 싱싱한 버섯을 제공한다."
대복복집,음식,음식점,한식,경기도,포천시,복요리의 제맛을 내기 위해 산지에서 직송한 생복만을 재료로 한다. 화학조미료를 쓰지 않으며 직접 제조하고 숙성시킨 양념을 사용하므로서 그 특별한 맛과 향을 자아낸다. 여기에 포천의 뛰어난 수질과 물맛이 뒷받침된 육수와 시원하고 깔끔한 탕과 지리맛이 돋보인다.
송추가마골(신관),음식,음식점,한식,경기도,양주시,"93년 한정식으로 문을 열어 94년 7월부터 이동갈비, 왕갈비로 메뉴를 전환하여 현재에 이르고 있다. 가마골갈비의 깊고 감칠맛나는 풍부한 풍미와 살이 연하고 대가 굵은 갈비만을 고른 왕갈비의 고소하고 연한 맛이 일품이다. SBS의 '맛있는집 멋있는집'과 스포츠서울의 '그맛 그집' 등에 방영된바 있다. "
빅토리아 레스토랑,음식,음식점,서양식,전라남도,고흥군,빅토리아레스토랑은 숲이 우거진 곳에 위치한 전망 좋은 곳이다. 발포해수욕장을 앞에 두고 금탑사와 비자나무숲이 가깝다. 테라스에 나가 있으면 파도 소리가 들리는데 주변의 새소리와 함께 어우러져 더 운치가 있다.
중국성,음식,음식점,중식,경기도,가평군,산 좋고 물 좋은 청평에 위치한 중화요리 전문점 중국성 이다. 수타로 면을 만들기 때문에 그 맛도 일품이다.
유한정,음식,음식점,한식,전라남도,순천시,"호남고속도로 서순천 IC에서 2km 정도 가면 오른쪽 대로변에 넉넉한 마당과 주차장을 가진 음식점이 있다.  5년 전, 허동환 사장이 차린 음식점이다. 허 사장은 옛날 음식과 건강에 좋은 음식을 생각하다 오리고기를 가장 먼저 떠올렸다. 오리구이를 판매하기 위해 여기저기 다니면서 오리고기를 맛보았고, 전라도 지역 오리농장들을 돌아다니면서 좋은 오리를 찾다가 남원에서 유황오리농장을 찾았다.이 집에서 많이 판매하는 짚불생오리구이는 한약재를 넣어 24시간 숙성시킨 뒤 바깥에서 짚불로 초벌구이를 하고, 실내에서 그릴에 구워 먹는다. 기름이 빠지고, 오리 특유의 비릿한 냄새도 사라지고 없다. 덕분에 고기가 담백하고 고소하다.그리고 광양불고기와 남원 인월면 흑돼지 삼겹살을 조달해다 판매한다. 부산어시장에서 동태를 조달해다 끓이는 양푼이 동태찌개도 푸짐하고 은은한 맛이 난다. 생고등어를 간해서 구운 후 양념해서 그릴에다 구워서 불판에다 내오는 고등어갈비는 '고갈비'라고 하는데 이 집의 별미로 손꼽힌다.식탁에 오르는 야채는 대부분 직접 농사를 지은 것이며, 화학조미료를 넣지 않고 반찬을 만든다. 장류도 직접 농사지은 순 국산 재료를 사용하여 집에서 직접 만든 것이다."
돌고래횟집,음식,음식점,한식,경상북도,울진군,"천혜의 자연환경과 청정지역으로 이름 높은 경상북도의 끝자락에 자리잡고 있는 울진군은 선뜻 찾아 나서기가 그리 쉽지는 않으나 울진읍내 바닷가에 자리잡고 있는 돌고래횟집은 이 고장의 자랑이 아닐 수 없다. 여느 음식점과는 달리 고정계약에 의한 자연산 생선을 공급 받는데서부터 차별화가 이루어지며 친절과 웃음이 몸에 베인 주인의 따뜻한 미소가 탁 트인 바닷가 전망과 더불어 우리네 마음을 흡족케 한다.신선도를 자랑하는 회를 비롯해 가오리찜, 오징어통찜, 성게, 멍게, 해삼 등 계절에 따라  달리하는 각종 밑반찬이 나오며, 이 집의 전복죽은 순수 자연산만을 고집한다고 한다."
팔도식당,음식,음식점,한식,충청북도,보은군,"속리산 법주사 앞 식당 촌에 위치한 팔도식당은 산에서 직접 채취한 각종 산나물과 자연산 버섯으로 요리하는 산채전문 식당이다. 각 계절에 나는 제철 나물을 이용해 쪽동백 튀김, 도토리묵 튀김, 대추절임, 열무갓김치, 엄나무순, 비듬나물 등 맛깔난 산채요리를 한다. 통나무로 식당내부를 설계하여 아담하고 자연적인 멋을 내고 있다. 입구에 턱이 없어 접근 가능하며, 좌석 역시 테이블과 의자로 되어 있다. "
대밭골가든,음식,음식점,한식,강원도,동해시,"[오리요리 전문 대밭골가든]오리요리 전문 식당인 대밭골가든은 음식점 주변이 대밭으로 이루어져 있다. 유황오리훈제찜과 유황오리 진흙구이, 능이오리백숙 등이 인기가 많다.  "
미다미,음식,음식점,일식,강원도,동해시,"미다미는 요리경력 20년인 주인이 직접 요리를 하는 정통 일식집이다. 무엇보다도 식품 재료의 신선도와 청결함을 가장 중요시하여 매일 아침 어판장에서 구입한 재료를 사용하며 음식을 깨끗하게 만들기 위해 정성을 다한다. 가장 인기가 있는 미다미정식은 생선회, 버섯볶음, 튀김, 생선초밥 등 코스별로 요리가 나오므로 손님 접대용으로 인기가 많다. "
혜원가든,음식,음식점,한식,강원도,정선군,산 좋고 물 맑은 심신 산골에서 사육한 엄선된 1등급 등심을 참숯불에 구워먹을 수 있으므로 고기 맛을 제대로 즐길 수 있다. 고기를 먹고 난 후에 나오는 된장국도 시원하며 담백하다.
할머니횟집,음식,음식점,한식,강원도,정선군,"할머니 횟집은 정선군의 대표적인 전통 향토 음식점이다. 대표 전영진 할머니는 산 좋고 물 맑은 심신산골에서 15년간 업소를  운영하면서 민물고기인 향어에 지역에서 생산되는 황기,인삼 등 18가지 이상의 신토불이 약제를 사용하여 ""향어백숙""을 개발하였다. 이 향어백숙은 이 업소에서만 맛볼 수 있는 독특한 음식으로 맛도 일품이며 건강에도 매우 좋다. 식당 앞 넓은 개울을 보며, 앞마당 나무 평상위에 놓여진 통나무 식탁에서 음식을 먹으면 정말 자연의 진미를 맛보는 듯한 느낌을 받는다. "
청평산장호텔레스토랑,음식,음식점,한식,경기도,가평군,호텔식당이라 주차시설이나 주변에 경관이 매우 좋고 저녁에는 단체손님에게 야외 숯불바비큐를 판매하고 있다. 식당에 앉아서 주문을 하고 밖을 보면 창 밖으로 펼쳐지는 앞산의 경치가 일품이다. 한 곳의 식당에서 한식과 양식을 모두 판매 하고 있다. 식당 내부도 깨끗하게 관리되고 있으며 화장실도 물론 깨끗하다.
올림픽밸리,음식,음식점,한식,경기도,가평군,"경기도 가평군 설악면 가일리에 유명산과 어비산의 숲과 계곡에 위치한 올림픽밸리는 펜션과 식당을 함께 운영하는 곳으로 야유회, 수련회, 단체행사 및 워크숍, 가족휴양지로 적합한 곳이다. 올림픽밸리 앞의 계곡에서는 시원한 물놀이를 할 수 있으며, 잘 가꾸어진 정원, 야회연회석, 노천카페와 주변에는 산책로, 등산로 등이 마련되어 있다. 식당의 휴무일은 매주 월요일로 미리 예약을 해야 한다. 주변관광지로는 유명산휴양림, 청평호반관광지, 남이섬, 아침고요수목원, 중미산천문대, 가일미술관 등이 있다."
남촌회관,음식,음식점,한식,전라남도,구례군,"구례구역에서 읍내쪽으로 섬진강 다리를 건너면 밖에서부터 고풍스러운 분위기로 길손을 잡아끄는 남촌회관이 있다. 궁궐같은 대문과 정원의 아름드리 소나무가 찾는 이를 먼저 반기며 대지500평에 5채나 되는 전통한옥이 한눈에 들어온다. 천정의 높고 굵은 서까래가 그대로 드러나 있는 건물은 웅장한 느낌을 주면서도 내벽은 창호, 한지 등으로  마감하여 소박한 우리의 멋과 고향냄새를 풍긴다. "
지리산대통밥,음식,음식점,한식,전라남도,구례군,문화관광부에서 선정한 전국 100대 베스트 음식으로 선정된 ‘지리산대통밥’은 20여 가지의 반찬과 대나무의 향이 솔솔 풍기는 대통에 밥을 지어 손님상에 내어놓는다. 지리산 화엄사 입구에 위치하여 산행 전후에 정갈하고 잘 차려진 음식들을 즐기기 위하여 찾아오는 손님들이 많다.
초가원가든,음식,음식점,한식,전라남도,구례군,"지리산 계곡 물이 흐르는 냇가에 위치하고 있으며 특히, 1000여평 부지에 정원수(소나무 500여그루)가 아름답기 그지 없다. 식당에 들어설 때는 직원들의 따뜻한 환대가 고객을 기분을 좋게 하였으며 식사시 주문을 받는 직원들의 밝은 표정과 친절, 메뉴에 대한 해박한 지식에서 교육의 정도를 느낄 수있다.사찰음식으로 유명한 이곳은 되물로 끓여 흑미, 찹쌀, 조, 수수, 밤, 대추, 연잎가루, 연꽃을 띄워 만든 연잎대통밥이 대표적이다.2004년 9월 20일 MBC ""토요일 떠나볼까"" 에 방영, 전라남도음식별미집으로 선정되었다."
맛다오리구이,음식,음식점,한식,서울,종로구,"오리요리 전문점인 '맛多! 오리구이'는 옛한옥의 멋을 그대로 살려 편안한 분위기에서 오리요리를 맛있게 즐길 수 있는 음식점이다. 오리고기는 알카리성으로 몸의 산성화를 막아 현대인의 체질개선에 도움을 주고 인체에 필요한 필수 불포화지방산인 리놀레인산, 비타민, 칼슘등 광물질이 풍부하여 성인병 예방에 도움을 줄뿐만 아니라 수용성 기름으로 피부내용에 효과가 있는 미용건강 식품이다. 맛다오리는 나주오리농장으로부터 매일매일 직송받고 자체 개발  와인숙성법으로 요리하므로써 담백하면서 고소한 맛을 손님들에게 제공하고 있다. 특히 오리훈제는 어린이와 여성분들이 먹기에 좋아 가족단위로 외식하기에 좋다. "
세정,음식,음식점,한식,경상북도,구미시,"순수국산 한우고기의 특수부위(소 1마리에 200 ~ 1000g)를 전문으로 하는 구미 유일의 전문식당(사전예약 필수)이다.   축산물 등급판정 확인서를 직접 손님이 확인할 수 있다. 조용한 분위기에서 손님과 담화를 하면서 식사 할 수 있다. 점심메뉴 된장찌개, 곰탕은 토속적인 맛으로 손님들이 가장 많이 찾는다."
금수산송어장가든,음식,음식점,한식,충청북도,제천시,"이 업소는 청풍명월의 중심에 자연경관이 수려하며 계곡에 위치하고 있다. 넓은 주차장이 있으며 1급 청정수인 금수산 계곡물에서 직접 기른 송어 산천어 향어를 호텔조리장 출신 주방장이 직접 회를 떠낸다. 충청북도 우수모범업소로 지정 되었으며, 여러종류의 야채를 썰어 만든 비빔회가 인기가 높으며 제천시 향토음식으로 미용과 건강에도 탁월하다."
고미정 (이천쌀밥집),음식,음식점,한식,경기도,이천시,"이천 쌀밥의 원조격인 고미정(이천쌀밥집)의 밥맛은 역시 일품이다. 음식은 푸짐하고 산채나물과 고기류, 생선류가 잘 조화되었고 맛도 매우 좋다. 이천쌀밥집의 밥은 돌솥에 이천쌀 만으로 지은 쌀밥과 돌솥에 대추, 은행, 잣, 고구마, 호박씨, 인삼, 콩, 밤 등을 넣은 영양밥 두가지 인데 둘다 정말 맛이 있어 반찬 없이 밥만 먹어도 부족한것을 느끼지 못한다. 또 식당에 전통도자기 전시관과 체험실습장을 함께 갖추고 있어 아름다운 도자기의 멋과 전통 음식의 맛을 함께 즐길 수 있다."
옛날쌀밥집,음식,음식점,한식,경기도,이천시,"크고 깨끗한 한옥집에 전통 그대로의 실내 인테리어로 되어 있어 정말 제대로된 한정식을 먹을 수 있다. 임금님표의 이천쌀에 인삼과 각종 잡곡을 넣고 지은 영양밥과 25가지의 밑반찬, 그리고 구수한 된장찌개까지 다양한 생선조림이 나오는 쌀밥정식과 정말 맛있는 게장을 맛  볼 수 있는 게장정식 등 한정식의 진미을 맛볼 수 있는 곳이다."
정일품,음식,음식점,한식,경기도,이천시,"""오늘 하루 왕처럼 지내고 싶은 분들은 정일품을 찾아주세요""라는 식당 주인의 말처럼 정일품에 들어서면 경복궁보다도 더 아름다운 100% 천연목조 건물로 인해 자신이 왕이라도 된 기분이 든다. 한국 제일의 이천쌀을 장수 돌솥에 개인별로 따로 지어 내는 상차림은 조선 왕실의 방법을 재현한 것으로 그 밥 맛이 천하 제일이라 할 수 있다.  정일품 옆에 있는 도자기 예술관에서 도자기를 관람한 후 이 곳에서 잘 차려진 한정식을 먹으면 '우리나라 전통의 아름다움이 바로 이러한 것이구나' 하는 생각이 든다."
진남매운탕,음식,음식점,한식,경상북도,문경시,"진남매운탕은 1960년 말 친정어머니(이봉선)가 문을 열어 지금은 막내딸(김영희)이 2대째 내려오는 가전기법으로 자연산 민물 매운탕을 요리하고 있다. 당시만해도 주변에 대성탄광, 봉명광업소, 은성광업소 등 굵직한 탄광들이 있어 임직원들과 광업소 직원들에게 인기있던 음식이었다.이후 탄광들은 모두가 잇달아 문을 닫았지만 그 맛을 잊지 못하는 분들이 찾아주시고 중부내륙고속도로가 개통되면서 전국에서 많은 분들이 경북팔경 제1경인 진남교반을 찾으면서 많은 이들이 민물매운탕의 맛을 보고 다시 찾고 있다고 한다. 어머니께서 담그시던 고추장의 비법으로 매운탕 맛은 변치 않고 있다.한방육수를 내어 끓이는 매운탕에 모든 재료는 국내산이며, 어떤 것이라도 재사용을 하지 않는다."
한아름 한정식,음식,음식점,한식,서울,강남구,"한국 전통음식점 한아름의 모든 재료는 최고의 특품만을 엄선하고 있으며, 강원도 고랭지야채와 무공해 재료만을 사용하고 있다. 모든 요리는 주문 즉시 파트별 전문요리사가 직접 요리를 하기 때문에 사전 예약을 주시면 더욱더 만족스러운 서비스를 받을 수 있다.(꼭 2~3일전에 예약) 또한 완벽한 주차시설과 연회장을 갖추고 있어 대.소 모임을 갖기에 편리하다."
속리토속음식점,음식,음식점,한식,충청북도,보은군," 산에서 직접 채취해 말린 산더덕과 당귀, 오가피 등 여러 약재와 토종닭, 그리고 영양 만점 송이버섯을 넣어 푹 고아낸 송이백숙이 인기인 토속음식점이다. 20여 가지 나물과 버섯을 넣어 비벼 먹는 특산채비빔밥도 맛이 좋다."
고바우식당,음식,음식점,한식,경상남도,합천군,"경남합천군 해인 상가내에 위치한 고바우식당은 가야산 기슭에서 자생하는 더덕, 표고버섯, 고사리, 취물, 도라지 등을  구수한 된장찌개와 함께 안주인의 손끝으로 양념, 요리한 송이정식과 산채정식의 맛이 일품이다. 더덕구이와 표고버섯은 독특한 향미가 나며 쌉쌀한 뒷 맛이 오랫동안 혀끝에 감돌아 생각만해도 군침이 돈다. 더덕구이와 버섯은 물론 건강에도 매우 좋은 식품이다. 특히 가을철의 산송이 버섯요리는 일품이라 할 수 있다."
