걷는길 명칭,코스명,지역1,난이도,상세거리(km),소요시간(시),소개
삼별초역사 체험탐방로,굼갑 연대봉 숲길,전남 진도군,쉬움,1,0.5,"진도에는 여귀산 봉수와 첨찰산 본수가 있었다. 봉수는 통신유적으로서 이 두봉수를 보조하는 세곳의 연대가 흔적으로 남아있는데 굴포연대와 상당곶연대, 사구미연대 기록이 그것이다. 이 세 연대는 1759년 ""여지도서""에서 모두 급갑에서 남도포 사이에 위치하고 있으며, 사구미는 군에서 서쪽 40리, 상당곶은 남쪽 30리, 굴포는 남쪽 30리로 각각 기록하고 있다. 여귀산 봉수의 보조연대로서 금갑진에 소속되어 있는 이곳 금갑연대봉은 사구미연대라 칭한다. 해발 85m의 봉우리에 있는 사구미연대는 자연암반 위에 둥근 모양으로 조성되었으나, 조선후기에 사라져 현재는 무너져 있는 흔적만 확인되고 있다. 규모는 지름 10m, 높이 1m 내외로 몇 단의 석축만 남아있다."
남해 바래길,14코스 망운산 노을길,경남 남해군,보통,10.4,3,"남해바래길 14코스 망운산노을길. 망운산 자락을 따라 이어져 아름다운 일몰을 감상할 수 있어 망운산노을길이라 하며, 해안선을 따라 산과 바다의 풍광을 감상할 수 있는 정겨운 길이다"
향일암 해안길 생태탐방로,향일암 ~ 돌산향교,전남 여수시,보통,18,5,"다도해 해상국립공원의 천혜 자연환경과 해맞이의 명소 향일암의 일출, 낙조, 한려해상국립공원 오동도, 충무공 이순신 장군의 구국항쟁의 유적지, 동식물의 자연자원(변산 바람꽃, 고니, 왜가리 등), 전혜의 탐방자원 다양성 등 여수 돌산의 다도해 해안경관을 만끽할 수 있는 해안로이다."
영광 칠산갯길 300리,01코스 굴비길,전남 영광군,보통,30,10,"예부터 임금님의 수랏상에 오른 명품 굴비 생산지이자 인도의 고승 “마라난타”가 백제에 불교를 전파하기 위하여 처음 들어온 곳인 백제불교최초도래지와 가마미해수욕장, 숲쟁이 꽃동산과 청정에너지원인 원자력발전소와 홍보관, 한마음공원(야생화식물원)이 위치하고 있는 탐방 구간으로 영광 9경(景), 9미(味), 9품(品)중 가마미 해수욕장, 백제불교 최초도래지, 숲쟁이공원, 굴비한정식, 태양초고추가 포함되어 있는 코스이다."
섬진강을 따라가는 박경리 토지길,03코스,경남 하동군,보통,13,5.5,"이쪽은 경상도 땅 19번국도 저편은 전라도 땅 861번 지방도로 지금이사 번듯한 남도대교가 놓여 사람은 물론 차량들도 드나들지만 예전 화개나루는 영남과 호남을 이어주던 줄 하나에 의지해 왔다. 이곳 나루에 조성된 화개장터에서 출발하여 쌍계사까지의 십리벚꽃길을 지나 쌍계사에서 약 10여리를 올라 만나는 지리산 유일의 거폭인 불일폭포까지 옛 명성터와 전국에서 가장아름다운 가로수길, 고찰, 높이 60m의 불일폭포까지 그야말로 선계를 체험할 수 있는 도보여행길이다."
섬진강을 따라가는 박경리 토지길,01코스,경남 하동군,보통,10,3,"가을에 걷고 싶고 또 보고 싶은 풍경인데, 이런 조건에 딱 맞아 떨어지는 곳이 있다. 그곳은... 하동 섬진강변의 평사리 들판이다. 지리산 자락인 형제봉 줄기가 북에서 굽어보고 있고 아래쪽 발치로는 섬진강이 유장하게 흐르는 곳. 그곳 사람들이 무딤이들이라고 부르는 곳이고 박경리 선생의 소설 토지로 우리에게 익숙한 곳이다. 토지길 걷기는 무딤이들을 가로 지르는 것으로 시작한다. 평사리 들판 가운데 다정한 모습으로 서 있는 부부송과 눈을 맞추고 나면 최참판댁으로 간다. 드라마 토지의 세트장으로 시작했지만 이제는 평사리의 명물이 된 곳이다. 봉대마을과 입석마을의 과수원길을 거쳐 최참판댁의 실제 모델이라고 알려진 조씨 고택과 숲 그늘이 좋은 취간림을 돌아 나오면 다시 무딤이들이다.."
영광 칠산갯길 300리,02코스 노을길,전남 영광군,보통,37,13,"아름다운 해안과 기암절벽, 낙조가 일품인 매력 넘치는 해안길로 국토해양부에서 선정한 “한국의 아름다운 길 100선”에 선정된 백수해안도로와 이 길을 따라 조성된 해당화 30리길로도 널리 알려져 있으며, 아름다운 해안과 기암절벽으로도 유명하다. 전국에서 유일한 노을전시관에서는 서해낙조를 감상할 수 있고, 하루의 피로를 풀수있는 해수 온천랜드도 있는 탐방 구간으로 영광 9경(景), 9미(味), 9품(品)중 백수해안도로, 원불교 영산성지, 덕자찜, 백합등을 즐길 수 있는 코스이다."
영광 칠산갯길 300리,03코스 백합길,전남 영광군,보통,30,10,영화 ‘마파도’ 촬영지인 동백마을과 200년 전통방식을 그대로 체험할 수 있는 고두섬 해수찜 구간은 썰물에는 해안으로 밀물에는 마을길 또는 제방길로 이동할 수 있음. 분등과 백바위 해수욕장은 넓은 갯벌은 생태체험장으로 이용되고 있으며 영광의 특산품인 천일염과 신성리 포도재배단지를 탐방할 수 있는 구간이다. 1.2 구간에 비해 거리가 되는 구간이지만 마을 사이사이를 지나다니면서 조용한 시골을 느낄 수 있다. 안내표지가 없다는게 좀 흠이다.
영광 칠산갯길 300리,04코스 천일염길,전남 영광군,보통,30,10,"대 종교중 기독교와 관련된 탐방구간으로 세계 5대 갯벌중 하나인 서해갯벌을 체험할 수 있으며 함평군 해수찜길과 연계되어 잇으며, - 백바위해수욕장은 송림과 흰바위, 고운모래가 유명하고 주변 해안을 감상하며 걸을 수 잇는 데크가 설치되어 있고, 녹색농촌체험마을(자연생태 우수마을)은 전형적인 어촌마을로 자연경관이 우수하여 가족단위 관광코스 임. 또한 기독교인 순교기념관·기념탑은 6.25당시 북한군의 교회탄압에 항거하며 신앙을 지키려다 순교한 신도들을 추모하기 위한 곳으로 순례객들의 발길을 머물수 잇는 경건함이 있음."
영광 칠산갯길 300리,05코스 불갑사길,전남 영광군,보통,15,5,"백제 침류왕(384년) 때 마라난타 존자가 백제에 불교를 전래하면서 제일 처음 지은 불법도량이라는 점을 반영하여 절이름을 불갑사라 백제 침류왕 원년에 인도승 마라난타가 제일 처음 세웠으며 전국 최대 규모의 상사화(꽃무릇) 군락지와 천연기념물인 참식나무 자생군락지가 있으며, 불갑저수지 수변공원에는 유채꽃단지가 조성됨. 인근에 5.18 민주화운동 박관현 열사 동상과 주자학을 일본에 전파한 수은 강항선생을 추모하는 내산서원이 있으며 영광 9경(景), 9미(味), 9품(品)중 불갑사, 불갑산상사화가 잇음."
이순신 바닷길,01코스 사천 희망길,경남 사천시,보통,13.1,3.5,"소나무로 숲이 이루어진 대곡숲은 산림청과 생명의 숲에서 심사한 아름다운 숲 대상을 차지한 숲이다. 전국에 많은 소나무 숲이 있지만 소나무의 수령이나 크기로 그 어디에 견주어도 뒤쳐지지 않을 만큼 아름다운 소나무 숲을 연출하고 있다. 대곡숲을 뒤로 하고 걷다보면 시원한 개울이 전면으로 보이고, 그 뒤에는 마을과 나무들이 마치 한 폭의 그림을 연상시키듯 조화를 이루는 모습을 볼 수 있는 수청교가 나타난다. 시원한 바람과 파릇파릇한 초목들을 구경하며 마치 한량이라도 된 듯 여유롭게 걸을 수 있는 길이다. 개울을 따라 길을 걷다보면 사천시내를 가로 지르는 사천교를지나고 어느덧 바닷가에 인접한 해안산업로까지 다다르게 된다. 다도해가 펼쳐진 사천의 아름다운 해안을 따라 덩달아 가벼워진 발걸음을 옮기면, 푸르른 나무들 사이로 문득 풀냄새가 느껴지는 사천의 봄에 아주 아름답기로 유명한 선진리성이 나온다. 선진리성을 향하는 길가의 풍성한 가로수 덕에 시원한 그늘로 흥겹게 발걸음을 옮길 수 있는 길이다."
이순신 바닷길,02코스 최초 거북선길,경남 사천시,쉬움,10.2,3,"긴 사천만 해안도로를 따라 사천 대교 밑으로 쉼터와 포토존, 갯벌체험장 등이 있는 아름다운 해안도보길로 사천대교의 야경을 조망할 수 있으며, 특히 차량통행이 적은 도보길로 저녁노을의 석양이 잔잔한 푸른바다와 잘 어울리는 아름다운 길이다. 또 포도, 배, 참다래 단지 및 싱싱한 자연산 횟집과 요트장 윈드써핑, 바나나보트 등 해양레져 및 편의 시설이 있어 가족들과 함께 찾기에도 좋은 길이다."
이순신 바닷길,03코스 거북이와 토끼길,경남 사천시,보통,16,4,"사천대교(길이 2060m 폭 11.2m)를 지나 거북이가 처음 토끼를 찾기 위해 육지에 닿았다는 월등도로 가는 도보길로 비토섬을 배경으로 환상적인 개벌이 펼쳐진 비토갯벌을 감상할 수 있는 길로 길 곳곳에는 별주부전의 전설이 안내 되어져 있으며 특히, 봄철 벚꽃이 피는 시기엔 환상적인 벚꽃터널을 즐길 수 있는 아름다운 걷기여행길이다."
이순신 바닷길,04코스 실안 노을길,경남 사천시,쉬움,8,4,"원시적이면서 자연친화적인 정치망 어업시설은 죽방렴이 설치되어 지는 저녁노을이 일품으로 2009년 한국관광공사 선정 전국9대 일몰의 하나이기도 하며 ,한국에서 가장 아름다운 길 100선에서 대상을 차지한 삼천포 대교, 초양대교, 늑도대교를 걸을 수 있으며 한려수도의 크고 작은 섬들과 푸른바다를 볼 수 있어 보는 이의 감탄을 자아내기에 충분한 해안도보길임."
이순신 바닷길,05코스 삼천포 코끼리길,경남 사천시,보통,10,3,남쪽 제일의 경치 남일대 해수욕장과 활기 넘치는 삼천포항 및 서정시인 박재삼문학관을 관람 할 수 있으며 삼천포항의 건어물과 싱싱한 회를 맛볼 수 있는 길로 해안길과 시장길 및 공원 등 다채롭게 경험할 수 있는 여행의 즐거움을 만끽할 수 있는 길이다.
우면산 둘레길,우면산 둘레길,서울 서초구,보통,10.5,3,산모양이 소가 잠을 자고 있는 모양이라 하여 이름지어진 우면산은 서울시 도시자연공원으로 지정관리되고 있으며 산책로가 조성되어 있어 도시민들에게 아늑한 휴식처를 제공하고 있다. 기존 산책로를 정비하고 산사태로 무너진 공간을 정비하면서 새롭게 탄생한 우면산 둘레길은 울창한 삼림뿐만 아니라 아름다운 꽃과 휴식공간이 있어 많은 시민들이 찾아오는 산책로이다.
백화산 호국의 길,백화산 호국의 길,경북 상주시,매우쉬움,10,1.5,"백화산 호국의 길은 경상북도 상주시 모동면 수봉리에서 충청북도 영동군 황간면으로 흐르는 구수천(석천)변을 따라 옛길을 복원하여 조성한 곳으로 화산의 수려한 경관과 어우러져 구수천을 따라 옛길을 복원하여 최대한 자연경관을 훼손하지 않고 친환경적으로 조성하여 이용하기가 편리하고 조성단계에서부터 백화산을 사랑하는 모임 등 지역주민들이 적극 참여 하였으며 지역주민 위주로 우리마을 녹색길 지킴이단을 구성하여 유지관리 및 운영을 하고 있으며, 방문객 지원센터에 20명 수용규모의 숙박시설 2동이 있어 1박 2일 일정의 장거리 방문객들이 편리하게 이용할 수 있음 옥동서원, 금돌성, 반야사 등 주변 역사문화관광 자원과 연계한 녹색길로 울창한 숲과 구수천변의 빼어난 절경인 백옥정, 세심석, 낙가벽, 임천석대, 저승골, 전투갱변 등 주변의 역사적 배경과 이야기가 있어 탐방객이 역사,문화,생태 체험을 동시에 할 수 있으므로 체험활동 및 교육효과가 높음."
화진포 둘레길,총 02코스,강원 고성군,쉬움,20.3,10.5,"강원고성갈래구경길 제3경 화진포 둘레길. 유명 경승지인 화진포 호수는 현내면 초도리 죽정리와 연접한 호수둘레 16km의 동해안 최대의 자연 호수로서(강원도지방기념물10호) 넓은 갈대밭위에 수천마리의 철새와 고니가 날아들고 울창한 송림으로 둘러싸여 주변경관이 빼어나 예로부터 주변에 유명한 별장들이 많았던 곳으로 지금도 이승만 초대 대통령 화진포 기념관과 별장, 이기붕 부통령별장, 화진포의성(김일성별장)이 역사안보 전시관으로 운영되고 있다. 화진포의 둘레 길을 걷는 산소길로 개척한다면 해양박물관-대진중고교-죽정리 마을쪽 둘레- 이승만별장-승진물산뒤-찻골 입구까지 7.3km에 2시간35분을 걷기에 아주 좋은 길이다 보안해야 될 사항은 이승만 별장에서 약1.5km는 습지가 되어 많은 보수를 하면 아주 좋은 길이 될 수 있다."
건봉사 등공대 해탈의 길,총 03코스,강원 고성군,보통,38,19,"강원고성갈래구경길 제4경 건봉사 등공대 해탈의 길. 거진항에서 송정, 초계, 해상리, 건봉사를 지나 어천리 허브농장과 고성산 관대바위를 구경하고 수성샘터에서 목을 축인 후 샘터골을 넘어 북천교까지의 거리로 35.3km코스이다. 거진항에서 건봉사까지의 거리는 12.3km 걸어서 3시간 정도 소요된다 자산을 지나 송정리에 들어서면 송강리가 눈앞에 다다르는데 송강리와 건봉사까지의 거리는 6km 정도이지만 군사시설 보호지역으로 되어있어 군인의 통제를 받은 후에야 건봉사로 갈 수 있는 불편한 길을 통과해야 한다. 송강저수지가 있어 아름다운 산세와 시원한 바람과 건봉산계곡에서 흐르는 오염되지 않은 맑고 깨끗한 냇물을 만날 수 있다, 전국 4대사찰의 하나였던 유서 깊은 건봉사를 관람하고 탁고개에 오르면 오른편 심산유곡에 백운동 계곡에서 흐르는 구절폭포가 한폭의 그림과 같이 다가온다. 높이 약 12m 정도 되고 경치가 아름답고 기풍이 맑고 시원해 택당이식선생이 간성 현감으로 재직시(1631-1632) 기움대라 이름 지었다 한다. 옛날 건봉사에 사찰토지가 많아 가을철 농민들이 수확하여 온 벼 가마를 실은 수레(우차)가 해상리에서 송강까지 수 십대가 장사진을 이루고 있었으며 계곡 주위로 많은 주막집이 자리하고 있었다 한다. 탁고개를 넘어서면 해상1리 마을 입구에 도달하게 되는데 주민들이 운영하는 건봉 다시마장 만드는 곳을 직접 관람 할 수 있어 흥미롭다. 다시마장식품은 2000년도 농촌여성 일감 갖기 사업으로 시작하여 마을 주민들이 옛 방식 그대로 장을 만들어 천연 다시마가루를 첨가하여 판매하고 있으며 2011년에는 해양심층수를 이용해 한국고유의 장을 개발하여 국내와 일본은 물론 동남아시아에도 본격적으로 출시하고 있다. 이곳에서 남쪽으로 5km 정도가면 어천리 허브농장을 지나게 되는데 다년생 소저목인 라벤더는 유럽지역이 주 산지이지만 이곳 고성지방의 기후가 비슷하여 여러 가지 가공품을 생산해 관광 상품으로 활용하고 있으며, 해마다 7월이면 이곳 마을에서 라벤다 축제가 열려 세인들에게 각광을 받고 있다. 라벤다 향을 뒤로하고 관대바위를 지나 고성산 기슭에서 북쪽 방향으로 샘터골을 지나면 간성과 거진읍의 경계지역인 남북한 합작으로 만든 북천교(합축교)에 다다르는 길이다."
진부령 하늘 심산유곡길,총 05코스,강원 고성군,어려움,13.2,12,"강원고성갈래구경길 제5경 진부령 하늘 심산유곡길은 ""소똥령 생명의 숲길""로 재선정하여 진부령 미술관에서 장신리유원지로 이어지는 13.2km코스로 변경하였다. 소똥령 등산로 입구로 진입하여 소똥령 1봉, 2봉, 3봉을 차례로 지나면 여름에도 얼음물과 같이 시원한 계곡수가 흐르는 칡소폭포를 만나게 된다. 칡소폭포에서 잠시 쉬고 발걸음을 조금만 더 옮기면 고성의 대표 유원지 중 하나인 장신리 유원지에서 여행이 마무리 된다."
천년 솔바람길,02코스,충남 서천군,보통,7.5,,"솔바람길을 따라 서천의 역사·문화여행길. 문헌서원, 봉서사, 건지산성, 박경수선생 생가터 등과 연결됨 - 문헌서원 : 고려말 대학자 가정 이곡과 목은 이색 두분을 배향하기 위해 조선 중기 건립된 사액서원 - 건지산성 : 건지산의 정상부근을 에워싼 말안장 모양의 내성과 그 서북쪽 경사면을 둘러싼 외성의 2중 구조로 되어있는 산성이다. 성을 쌓은 시기는 백제 말에서 통일신라 전기로 보고 있으며, 백제 부흥운동의 거점이었던 주류성으로 추정하고 있다."
관대바위 산소길,총 05코스,강원 고성군,어려움,9.2,3,강원고성갈래구경길 제6경 관대바위 산소길. 진부령 정상(해발520m)에서 미술관을 관람하고 동해바다가 있는 곳 동족 방향 북천교까지의 코스이었지만 임도구간 통제로 고성산둘레길로 변경되었다. 고성산둘레길은 고성군 소재지에서 고성산둘레와 정상을 거처 다시 고성군 소재지로 되돌아오는 코스로 고성산 정상에서 동해와 태백산맥의 흐름을 한눈에 볼 수 있어 독특한 풍광을 자아낸다.
모악산 마실길,김제구간 02코스,전북 김제시,보통,13.3,3.5,모악산마실길 김제구간 2코스는 금산사주차장에서 시작된다. 금산사는 71개 말사를 통괄하는 조계종 제 17교부 본사로 많은 문화재가 산재해 있는 곳이다. 금산사주차장 버스정류장에서 계단을 따라 오르면 솔향이 가득한 숲길이 이어진다. 모악산 정상과 백운동마을로 가는 길목에서 백운동마을로 접어들어 마을길을 따라 걸으면 금산사의 말사 귀신사를 만난다. 귀산사에서 싸리재를 거쳐 구불구불한 길을 따라 내려가면 일명 오리알 터로도 불리는 금평저수지이다. 이곳은 풍수지리에 밝았던 도선이 장차 오리가 알을 낳는 곳이 될 것이라는 예언에 따라 붙여진 이름이다. 발걸음은 금산교회를 거쳐 다시 금산사주차장으로 복귀하여 여행을 마치게 된다.
흑산철새와 당산길,03코스 전망 좋은길,전남 신안군,보통,3,2,"하늘이 닿는 곳이기에 바다가 어우러진 아름다운 곳으로 주변 경관이 빼어난 최고의 절경을 이루는길. '절경'이란, 더할 나위 없이 훌륭한 경치를 만한다. 흑산철새와 당산길에서는 '절경'이라는 단어는 3코스에 자연스레 붙는 명사이다. 하늘을 닿을 듯한 바다가 어우러진 풍경은 더한 나위 없다. 일출과 일몰을 바라보는 경치도 그만인 코스이다. 작은산에서 큰산을 지나 선유봉과 옥녀봉을 차례로 걷는 길은 다소 힘이 들지만 빼어난 경관을 바라보는 것만으로 발걸음에 힘이 붙는다. 흑산도 최남쪽인 서산머리재와 서산끝에서 다시 걸어온 길로 발걸음을 따르다 남산유배경원으로 발걸을을 돌리면 붉은 지붕이 인상적인 사리마을에 다다른다."
송지호 둘레길,총 01코스,강원 고성군,보통,10.7,2.5,"강원고성갈래구경길 제7경 송지호 둘레길. 관동별곡 8백리길에 접한 송지호 철새관망타워에서 서북쪽 방향의 산소길은 호수와 숲과 바다가 어우러진 그 풍경은 어느 도회에서도 보기 어려운 천혜의 아름다운 곳이다. 이곳을 지나 마을 어귀에서 가파른 두백산 정상(244m)까지는 초보산행자도 쉽게 오를 수 있는 등산길이라 할 수 있겠다 두백산 정산의 시설물은 군사시설로 분단의 아픔을 잠시나나 느낄 수 있는 곳이며 정상에서 바라보는 동해바다의 푸른 물결은 오르는 동안의 피로를 싹 씻어 버리는 듯 하다. 왕곡마을에 내려오면 옛 우리조상들의 주거 생활의 지혜를 한눈에 볼 수 있으며 저럼한 가격으로 토속 음식을 제공받을 수 있다 송지호 둘레 6.5km 중 중간정도 지점인 오봉리 산167번지 용소두봉에 위치한 송호정은 1959년 당시 면장 최장길. 기성회장 이원섭 등 독지가가 건립하였으며, 송지호의 주변 송림과 호수 동해의 망망대해가 어우러져 아름다움을 더해주고 있으며, 송지호의 얘깃거리는 타워에 게시되어 있어 방문자의 발길을 잠시 멈추게 하고 있다. 송지호에서는 매년 7~8월에 재첩을 생산 농어가의 소득을 증대하고 있으며, 특히 해변에 오토캠핑장이 있어 피서객의 편의를 제공하며 인근에는 가진, 공현진, 오호항(포구)가 있어 싱싱한 먹거리를 제공하고 있다."
새이령 가는길,총 04코스,강원 고성군,보통,38.6,13,"강원고성갈래구경길 제8경 새이령 가는길. 관동별곡 8백리 길에 접한 고성 2경인 천학정에서 출발 도학초등학교까지는 10여km 완만한 오르막으로 소나무 숲길이다 도원저수지 경관은 걷는 이의 마음을 시원하게 하며 산불감시초소에서 새이령 입구까지 7km거리는 숲속 길로 오르막길이다 새이령 입구에서 정상까지 2.5km는 군데군데 야생화 군락지(엘레지 등) 가 자연적으로 형성되어 있어 걷는 이의 발걸음을 멈추게 한다 새이령 정상에는 옛날에 주막집이 있어 동서 왕래 요새로 지금도 주막집 터가 남아 있다. 도원리 임도(일명 원터일주)등정은 계절에 따라 받아드리는 정취가 다르지만 가을철 단풍 광경은 고성풍경의 백미라 할 수 있겠다 원터는 옛날 고성, 양양군원님이 공무 차 한양을 갈 때 이곳에서 머물다 갔다 하여 원터라고 부르게 되었다는 얘기가 전해지고 있다. 현재는 도원리 계곡이 산수가 수려하고 시원하여 여름철 많은 피서객들에게 널리 알려지고 있다."
화암사 신선 만나러 가는 길,총 03코스,강원 고성군,보통,38.6,8.5,"강원고성갈래구경길 제9경 화암사 신선 만나러 가는 길, 관동별곡8백리길에 접한 켄싱턴 리조트를 출발하여 세계 짐버리장 입구에 들어서면 도로변에 소나무 숲길로 걷은 이에게 상쾌함을 더해 주고 있다 화암사까지 10km정도의 거리 두 시간이 소요된다. 천년고찰 화암사 주변에는 남성의 상징인 수바위와 여성의 상징인 옥문바위를 볼 수 있으며, 신선들이 놀고 갔다는 신선대를 거쳐 신선봉(1,204m)까지 가는 6km의 등산로는 천국문이라 불리우는 바위틈사이로 가야하는 등 일반 등산객과 노약자들이 등정하기에는 어려움이 있는 코스이다 신선봉에 오르면 푸른 동해가 발아래 보이고 맑은 날씨에는 향로봉 넘어로 금강산 연봉까지 볼 수 있는 곳이다 신선봉 샘터에서 미시령 정상까지 하산길이라 경사가 급하여 보행에 주의가 요구되는 곳이다 미시령 고개 길은 6.25한국전쟁이후 1960년 개통으로 속초, 인제간 거리를 단축 하였으나 현재는 터널개통으로 30분 이상 더 단축됐다. 미시령 굽이굽이 고개 길은 계절에 따라 그 정취가 다르며 주변에서 선인재, 신선대, 울산바위 등 명소가 있어 경관의 아름다음을 더해주고 있다."
두위봉 산소길,두위봉 산소길 A코스,강원 영월군,보통,33.25,12,"김어수 공원에서 출발하여 직동리 마을길을 따라 큰터삼거리에서 우측 강원랜드 가는 길을 따라 직동계곡의 맑은 물을 끼고 천천히 여유있는 마음으로 걸어야 한다. 봉우재 삼거리에서 화절령사거리에 이르는 2.8km의 길은 가파른 오르막이라 천천히 걷지 않는다면 숨이 턱에 차올라 금방 포기하게 될지도 모른다. 식수대에서 식수를 보충하고 화절령사거리에서 왼쪽으로 길을 꺽어들면서 나타나는 조망은 두위봉 코스의 자랑거리이다. 멀리 산 중턱의 고랭지 채소밭이며 앞을 다투며 달리는 백두대간 산자락들... 잘 닦여진 운탄도로(임도)를 따라 약간 내리막과 평지의 길을 콧노래를 부르며 여유있게 걷다보면 암반폭포수와 임도갈림길이 나온다. 이곳에서 전망대~자작나무군락~새비재삼거리 구간은 잘 닦여진 운탄도로와 숲길, 그리고 조망이 트인 고산 산소길의 풍광을 즐기면 되고 새비재삼거리에서 가파른 내리막길을 조심조심 내려오면 한밭골효자각과 마을길을 따라 큰터삼거와 출발지인 김어수 공원으로 돌아온다."
두위봉 산소길,두위봉 산소길 B코스,강원 영월군,보통,25.62,9,김어수 공원에서 출발하여 직동리 마을길을 따라 큰터삼거리에서 우측 강원랜드 가는 길을 따라 직동계곡의 맑은 물을 끼고 천천히 여유있는 마음으로 걸어야 한다. 봉우재 삼거리에서 화절령사거리에 이르는 2.8km의 길은 가파른 오르막이라 천천히 걷지 않는다면 숨이 턱에 차올라 금방 포기하게 될지도 모른다. 식수대에서 식수를 보충하고 화절령사거리에서 왼쪽으로 길을 꺽어들면서 나타나는 조망은 두위봉 코스의 자랑거리이다. 멀리 산 중턱의 고랭지 채소밭이며 앞을 다투며 달리는 백두대간 산자락들... 잘 닦여진 운탄도로(임도)를 따라 약간 내리막과 평지의 길을 콧노래를 부르며 여유있게 걷다보면 암반폭포수와 임도갈림길이 나온다. 이곳에서 아랫길을 택하면 임도와 계곡을 따라 지나쳐 올라갔던 직동2리 마을회관이 나오고 마을길을 따라 돌아오면 된다.
두위봉 산소길,두위봉 산소길 C코스,강원 영월군,보통,19.59,7,"김어수 공원에서 출발하여 직동리 마을길을 따라 큰터삼거리에서 우측 강원랜드 가는 길을 따라 직동계곡의 맑은 물을 끼고 천천히 여유있는 마음으로 걸어야 한다. 직동2리마을회관에서 임도갈림길에 이르는 3.67km의 길은 가파른 오르막이라 천천히 걷지 않는다면 숨이 턱에 차올라 금방 포기하게 될지도 모른다. 천천히 3.67km의 길을 오르다가 임도갈림길이 나온다. 이곳에서 왼편으로 꺽어들어 전망대~자작나무군락~새비재삼거리 구간은 잘 닦여진 운탄도로와 숲길, 그리고 조망이 트인 고산 산소길의 풍광을 즐기면 되고 새비재삼거리에서 가파른 내리막길을 조심조심 내려오면 한밭골효자각과 마을길을 따라 큰터삼거리와 출발지인 김어수 공원으로 돌아온다."
홍천9경 생태탐방로,01코스,강원 홍천군,어려움,37,6,"발아래로 펼쳐진 소양호의 풍경과 3개 암봉으로 이루어진 정상은 석간수가 샘솟으며, 강원 제1의 전망대로 할 만큼 풍경이 좋다. 우거진 숲과 곡곳에 펼쳐지는 소와 너내바위 등 맑은 물과 기암괴석이 10km의 계곡으로 조화롭게 펼쳐져 비경을 자랑하는 홍천7경인 용소계곡은 내설악에 버금가는 아름다운 계곡을 자랑한다. 또한 홍천의 5경 중의 하나인 가령폭포는 오지의 백암산 서남쪽 기슭에 숨어 있으며, 개령호인들이 찾으면서 알려지기 시작한 백암산과 더불어 우렁찬 굉음을 토하며 수십미터(50m)의 낭떠러지를 뒤흘들며 내리꽂는 자태가 웅장하다"
너브내 수변탐방로,01코스,강원 홍천군,어려움,28,9.5,"북방면 도사곡리는 모래벌과 굴곡이 아름답고 ‘돈을 갚지 못한 친구가 친구를 바위로 불러 술잔을 나누며 빚을 갚을 수 없게 되어 죽으려 하자, 만류하며 아무리 못 갚는다 해도 친구의 목숨을 원하겠나, 나중에 벌면 갚아도 된다’는 말 한마디로 천냥 빚을 갚은 전설이 깃든 ‘천냥바위’가 있다. 산의 삼면을 둘러싼 팔봉산은 여덟 개의 봉우리로 길게 뻗어 있으며 2봉에는 삼부인당이라는 당집이 있고, 3봉이 가장 높고 4봉에는 해산바위굴이 있으며 조망이 가장 뛰어나 홍천강과 삼악산이 한눈에 가득 들어온다. 홍천강은 캠핑과 함께 쏘가리와 토종 물고기들이 많아 낚시군들도 즐겨찾는 강이다."
너브내 수변탐방로,02코스,강원 홍천군,매우어려움,27,10,"북방면 도사곡리는 모래벌과 굴곡이 아름답고 ‘돈을 갚지 못한 친구가 친구를 바위로 불러 술잔을 나누며 빚을 갚을 수 없게 되어 죽으려 하자, 만류하며 아무리 못 갚는다 해도 친구의 목숨을 원하겠나, 나중에 벌면 갚아도 된다’는 말 한마디로 천냥 빚을 갚은 전설이 깃든 ‘천냥바위’가 있다. 산의 삼면을 둘러싼 팔봉산은 여덟 개의 봉우리로 길게 뻗어 있으며 2봉에는 삼부인당이라는 당집이 있고, 3봉이 가장 높고 4봉에는 해산바위굴이 있으며 조망이 가장 뛰어나 홍천강과 삼악산이 한눈에 가득 들어온다. 홍천강은 캠핑과 함께 쏘가리와 토종 물고기들이 많아 낚시군들도 즐겨찾는 강이다."
물소리길,01코스,경기 양평군,보통,13.8,4.5,"물소리길은 자연을 사랑하는 도보여행객들을 위한 길입니다. 다정하게 속삭이는 포근함이 그리울 땐 언제든지 물 맑은 양평을 찾아 남한강과 북한강변을 아늑하게 감돌아 흐르듯 산책하는 여유를 즐기세요. 물소리길은 우리나라의 대표적인 도보여행길인 제주올레와 협력하여 탄생하였으며, 남녀노소 누구나 걸을 수 있고, 자연과 문화를 이해하며 걷는 길입니다. 자연경관이 잘 보전된 야트막한 산과 완만한 땅이 선물하는 풍경을 만나면 고향같은 동네를 지나는 사람 모두 정단운 얼굴로 눈인사 나누게 됩니다. 이 길을 걸으며 양평의 물처럼 맑은 삶의 행복을 느껴 보세요."
인천둘레길,09코스(연경산 ~ 청량산),인천 연수구,보통,9.1,3,백제시대의 해상항로의 거점 한나루터를 시작으로 청량산과 봉재산에 이어지는 길로 수도권 관문 역할을 해 온 인천의 어제와 오늘 그리고 미래를 조망하면서 걸을 수 있는 곳이다.
